,index,Authors,Year of Publication,Title,Author Keywords,KeyWords Plus,Abstracts,ISO-4 Journal Abbreviation
0,96,"FAULCONBRIDGE, J; MUZIO, D",2008,Organizational professionalism in globalizing law firms,globalization; legal profession; organizational professionalism; professional autonomy; professional services firms,MANAGEMENT; DYNAMICS; LONDON,"Are the challenges of globalization, technology and competition exercising a dramatic impact on professional practice while, in the process, compromising traditional notions of professionalism, autonomy and discretion? This article engages with these debates and uses original, qualitative empirical data to highlight the vast areas of continuity that exist even in the largest globalizing law firms. While it is undoubted that growth in the size of firms and their globalization bring new challenges, these are resolved in ways that are sensitive to professional values and interests. In particular, a commitment to professional autonomy and discretion still characterizes the way in which these firms operate and organize themselves. This situation is explained in terms of the development of an organizational model of professionalism, whereby the large organization is increasingly emerging as a primary locus of professionalization and whereby professional priorities and objectives are increasingly supported by organizational logics, systems and initiatives.",Work Employ. Soc.
1,4342,"WU, XG; XIE, Y",2003,Does the market pay off? Earnings returns to education in urban China,,REFORMING STATE SOCIALISM; INCOME INEQUALITY; SOCIETAL TRANSFORMATION; TRANSITION DEBATE; EASTERN-EUROPE; LABOR-MARKET; DUAL ECONOMY; RURAL CHINA; STRATIFICATION; RUSSIA,"Previous work on the market transition in reform-era China has missed the direct link between individuals' labor market history and individuals' labor market outcome. A typology of workers is developed based on individuals' labor market histories, and a model of selective mobility of workers from the state sector to the market sector is offered as an explanation for higher earnings returns to education in the market sector. Analysis of data from an urban survey in China reveals that commonly observed higher earnings returns to education in the market sector are limited only to recent market entrants, and that early market entrants resemble state workers in both their level of earnings and returns to education. These results challenge the prevailing wisdom that education is necessarily more highly rewarded in the market sector Thus it is concluded that higher returns to education in the market sector should not be construed as being caused by marketization per se, and instead that the sorting process of workers in labor markets helps explain the sectoral differentials.",Am. Sociol. Rev.
2,5096,"PODOLNY, JM; STUART, TE; HANNAN, MT",1996,"Networks, knowledge, and niches: Competition in the worldwide semiconductor industry, 1984-1991",,DYNAMICS; ECOLOGY; ORGANIZATIONS; POPULATIONS; INDICATORS; MORTALITY; GROWTH; MODEL; WIDTH,"The authors develop a conception of an organization-specific niche in a technological network. This niche is defined by two properties: crowding and status. The authors hypothesize that crowding suppresses an organization's life chances and that status enhances life chances, especially for those organizations in uncrowded niches. They operationalize this conception of the niche using patents and patent citations, and they find support for these hypotheses in an examination of technological competition in the worldwide semiconductor industry. In the conclusion, they compare these findings to earlier research and highlight some of the particular advantages of this conception of the niche.",Am. J. Sociol.
3,3857,"WIMMER, A",2008,The making and unmaking of ethnic boundaries: A multilevel process theory,,UNITED-STATES; NATION-STATE; IDENTITY; RACE; MODEL; IDENTIFICATION; POLITICS; DISCRIMINATION; PANETHNICITY; ANTHROPOLOGY,"Primordialist and constructivist authors have debated the nature of ethnicity ""as such"" and therefore failed to explain why its characteristics vary so dramatically across cases, displaying different degrees of social closure, political salience, cultural distinctiveness, and historical stability. The author introduces a multilevel process theory to understand how these characteristics are generated and transformed over time. The theory assumes that ethnic boundaries are the outcome of the classificatory struggles and negotiations between actors situated in a social field. Three characteristics of a field - the institutional order, distribution of power, and political networks determine which actors will adopt which strategy of ethnic boundary making. The author then discusses the conditions under which these negotiations will lead to a shared understanding of the location and meaning of boundaries. The nature of this consensus explains the particular characteristics of an ethnic boundary. A final section identifies endogenous and exogenous mechanisms of change.",Am. J. Sociol.
4,1559,"VANDERSTRAETEN, R",2000,Autopoiesis and socialization: on Luhmann's reconceptualization of communication and socialization,Niklas Luhmann; autopoiesis; social systems; communication; socialization; education,SOCIAL-SYSTEMS,"In 1984, Niklas Luhmann published Soziale Systeme in which he applies the idea of autopoiesis (= self-production) to social systems. Abstracted from its biological connotations, the concept of autopoiesis leads to a sharp distinction between different kinds of autopoietic organization, i.e. between life, consciousness and communication. According to Luhmann, the relationship between social systems and human beings cannot be adequately analysed except by taking into account that they are environments for one another. If this theoretical background is accepted, the concepts and theory of socialization need to be revised. Luhmann takes issues with classical notions such as internalization, inculcation, or 'socialization to the grounds of consensus' (Talcott Parsons). After a historical overview of social systems research and general systems theory, it is indicated how communications trigger further communications and realize the autopoiesis of social systems. In the second part of the article, the distinction between social systems and psychic systems is used to discuss issues crucial to socialization theory. Both a revision of the concept of socialization, and lines for an empirical research programme are proposed in accordance with Luhmann's theory of social systems.",Br. J. Sociol.
5,3378,"HEIMER, CA; STAFFEN, LR",1995,INTERDEPENDENCE AND REINTEGRATIVE SOCIAL-CONTROL - LABELING AND REFORMING INAPPROPRIATE PARENTS IN NEONATAL INTENSIVE-CARE UNITS,,DECISION-MAKING,"Labeling theorists have argued that members of disadvantaged groups are disproportionately likely to be labeled negatively but we find that in some situations members of disadvantaged groups may, in fact, be less likely than others to be labeled for the same actions. In neonatal intensive care units (NICUs), we argue, the process of sorting and evaluating parents of NICU patients varies with the gender age, and race of the parents and depends on what those characteristics are taken to mean in the context of the organization. We find that social control in the NICU tends to be reintegrative rather than disintegrative. Because NICUs cannot control their organizational borders and because of the fundamental interdependence between medical careproviders and parents, parents must be reformed rather than excluded We conclude that when substantial resources must be expended to correct deviant behavior, an organization will be more reluctant to label anyone as deviant and that when a group is dependent on the participation of deviant members, the group will make considerable effort to rehabilitate them.",Am. Sociol. Rev.
6,158,"MUELLER-BENEDICT, V",2007,What has the strongest effect on reducing social inequality of school achievement?,secondary social effect; social inequality; german educational system; modelling; school continuation decisions; strength of effects,INDUSTRIAL-NATIONS; EDUCATION; GERMANY,"Social inequality of student achievement in school has a variety of causes, all of them are well investigated scientifically. But, if a particular cause could be neutralized, which of these causes would have the strongest effect of reducing social inequality? Based on data of the PISA 2000 study, the contribution argues that the secondary social effect, which mainly represents the parental decisions for transitions to different branches of the higher educational system, has at least the same quantity as the primary social effect, which consists in all family background conditions of a student. Simple simulations show how the social inequality will change, if either the primary or the secondary social effect are neutralized. These changes cannot be forecasted in an easy or linear way under different conditions.",Koln. Z. Soziol. Sozialpsych.
7,3407,"WATERS, MC; ESCHBACH, K",1995,IMMIGRATION AND ETHNIC AND RACIAL-INEQUALITY IN THE UNITED-STATES,STRATIFICATION; RACE AND ETHNICITY; INEQUALITY; ECONOMIC CONDITIONS; IMMIGRATION,LABOR-MARKET; HISPANIC MEN; AMERICAN-INDIANS; ASIAN-AMERICANS; ENCLAVE ECONOMY; EARNINGS; ASSIMILATION; MINORITIES; MIGRATION; DEBATE,"This review examines research about current levels and recent changes in ethnic and racial stratification in the United States. Research about ethnic inequality emphasizes that economic stagnation and restructuring are troubling impediments to progress toward equality, and it shows evidence that employers may still use racial and ethnic queues in hiring. A number of issues arise with respect to the incorporation of the new waves of immigrants who have arrived since immigration law reform in 1965. We discuss patterns of adaptation of new immigrants, including available evidence on the ethnic enclave economy and substitution in the labor market of immigrants for native minorities. We summarize new theories and hypotheses about the fate of the children of recent immigrants, and we point to topics in this area needing further research.",Annu. Rev. Sociol.
8,2336,"LAMONT, M",1996,The nature of virtue: Symbolic boundaries in the French and American upper-middle classes,,SCHOOL SUCCESS; UNITED-STATES; PARTICIPATION,"This paper analyzes the social definitions of ''a worthy person'' that predominate in the French and American upper-middle classes. More specifically, it identifies types of symbolic boundaries, i.e. implicit definitions of the ''pure'' and the ''impure'', produced by interviewees when they discuss people who are ''better'' and ''worse'' than - or similar to and different from - themselves. The analysis is based on one hundred and sixty interviews which I conducted with randomly sampled college-educated white male professionals, managers and businessmen living in and around Indianapolis, New York, Paris and Clermont-Ferrand. Three types of boundaries emerge from the interviews: moral, cultural and social boundaries. I compare the relative salience of these boundaries across samples to discover that cultural exclusion, which is the most prominent type of exclusion in French society, is considerably less important in the United States. Americans most frequently draw symbolic boundaries on the basis of worldly success while moral exclusion ist equally salient in both societies. These findings bring a new dimension to the cultural capital literature as they indicate that traits other than command of high culture are central to the upper-middle class. These findings are also indicative of differences in broad national cultural patterns in France and the United states.",Berliner J. Soz.
9,3668,"LICHTER, DT; KEPHART, G; MCLAUGHLIN, DK; LANDRY, DJ",1992,RACE AND THE RETREAT FROM MARRIAGE - A SHORTAGE OF MARRIAGEABLE MEN,,FAMILY FORMATION; BLACK-AMERICANS; UNITED-STATES; WHITE WOMEN; YOUNG MEN; ENTRY,"We evaluate a marital search model that links the quantity and quality of available men to first marriage transitions among black women and white women in the United States. Our analysis provides a more complex assessment of the hypothesis that racial differences in transitions to first marriage reflect shortages of marriageable men in local marriage markets. We attach several indicators of local marriage market conditions (primarily sex ratios from the 1980 Census) to women's marital histories available in the 1979 through 1986 waves of the National Longitudinal Survey of Youth. Our discrete-time logit models support the following conclusions: (1) A shortage in the quantity and quality of available males in local areas depresses women's transitions to first marriage; (2) economic independence among women (as measured by employment and earnings) is positively associated with entry into marriage; (3) racial differences in mate availability account for a relatively small share of existing racial differences in marriage; (4) indicators of local mate availability nevertheless account for a larger proportion of observed racial differences in transitions to first marriage than factors such as family background, welfare status and living arrangements (e.g., multigenerational family); (5) the effects of marriage market characteristics are contingent on whether women are ''searching'' in the marriage market; and (6) the effect of a shortage of ''economically attractive'' men is not simply an artifact of local demographic deficits of men to marry.",Am. Sociol. Rev.
