,Authors,Year of Publication,Title,Author Keywords,KeyWords Plus,Abstracts,ISO-4 Journal Abbreviation
0,"LI, YJ; SAVAGE, M; WARDE, A",2008,Social mobility and social capital in contemporary Britain,civic engagement; position generator; social capital; social mobility; social networks; trust,HISTORY,"This paper seeks to contribute to social capital research by linking measures of formal and informal forms of social capital to social mobility trajectories and assessing their impact on social trust. Drawing on data from a recent national survey - Cultural Capital and Social Exclusion (2003/2004) - we analyse formal civic engagement and informal social connections. The latter data are obtained using, for the first time in a study in Britain, Lin's (2001) 'Position Generator' approach as a means to identify the volume, range and position of individuals' informal social contacts. The pattern of contacts suggests that access to social ties is strongly conditioned by mobility trajectory. We also show that civic engagement in formal associations is especially high among second-generation members of the service class. It is also shown that both class trajectory and possession of two types of social capital have significant impacts on trust. Among the social groups disadvantaged in terms of bridging social ties are not only those in lower classes but also women and members of minority ethnic groups.",Br. J. Sociol.
1,"PATERSON, L",2008,"Political attitudes, social participation and social mobility: a longitudinal analysis",social attitudes; social participation; social mobility; diagonal reference models; cohort studies,CIVIC ENGAGEMENT; HIGHER-EDUCATION; VALUES; MODELS; PREFERENCES; FERTILITY; COUNTRIES,"It is often suggested that the political attitudes and social participation which have underpinned the welfare-state democracies have depended on large amounts of upward social mobility. The demographic heterogeneity of the service class, according to this view, induced in them a willingness to lead a common political project seeking to establish a common social citizenship. As the amount of upward mobility stagnates or even begins to fall, it has then further been claimed that there might emerge a degree of ideological closure in the service class that might erode their commitment to civic values. The 1958 British birth cohort study is used to investigate this question. Longitudinal data are invaluable here because they allow us to distinguish between two hypotheses: that upward mobility as such has induced in the service class certain attitudes and propensities to participate, or that the more important influence is the early socialization through which upwardly mobile people went. The conclusion of the analysis is that, although the civic values of the service class have not depended on upward mobility, this is much more true of cognitively able people than of others, and so is dependent on the somewhat meritocratic basis of selection into the salariat.",Br. J. Sociol.
2,"GEYS, B; MURDOCH, Z",2008,How to make head or tail of 'bridging' and 'bonding'?: addressing the methodological ambiguity,voluntary associations; bridging and bonding; social networks; membership heterogeneity; social interconnections,VOLUNTARY-ASSOCIATIONS; NEIGHBORHOOD CONTEXT; CIVIL-SOCIETY; PARTICIPATION; TOCQUEVILLE; DIVERSITY; TRUST,"A distinction has recently been proposed between bridging (or encompassing) and bonding (or inward-looking) social networks. However, existing theoretical contributions remain vague as to the fundamental meaning of both concepts. As a consequence, two distinct interpretations have developed alongside each other. In the present paper, we employ data on voluntary association membership in Flanders to empirically illustrate that both approaches can lead to substantially different outcomes and therefore appear to tap into different dimensions of bridging versus bonding. These findings underline the problematic nature of the current conceptual ambiguity. We conclude that should the bridging/bonding distinction add meaningfully to our understanding of the external effects of social networks, it is essential to resolve the conceptual and methodological imprecision.",Br. J. Sociol.
4,"CROSSLEY, N",2008,(Net)Working out: social capital in a private health club,social networks; social capital; gyms; health clubs; brokerage and closure; established and outsiders,NETWORKS; TIES,"In Bowling Alone Robert Putnam considers the possibility that the growth of private health clubs and the rising rates of membership to such clubs might represent a counter-trend to his thesis on the decline in social capital. In this paper I explore this idea using ethnographic data and social network analysis. I show both that and how networks form in health clubs and I discuss the ways in which these networks constitute social capital for their members. In addition, however, I explore the 'dark side' of this form of social capital. I argue that high integration amongst some members of a fitness class can generate a power differential between those members and other, less integrated members who experience this negatively. Furthermore, with an eye on Burt's (2005) important thesis on brokerage and closure, I argue that brokerage between relatively closed clusters of agents can lead to inter-group rivalry and conflict, which, in turn, is experienced negatively by those involved.",Br. J. Sociol.
6,"FOX, NJ; WARD, KJ",2008,"What governs governance, and how does it evolve? The sociology of governance-in-action",governance; Gramsci; hegemony; pharmaceutical; regulation; technology,ENVIRONMENTAL GOVERNANCE; POLITICS; COMMUNITY; STATE; GOVERNMENTALITY; POWER; PHARMACEUTICALS; EXPERTISE; AUSTRALIA; SCIENCE,"Governance addresses a wide range of issues including social, economic and political continuity, security and integrity, individual and collective safety and the liberty and rights to self-actualization of citizens. Questions to be answered include how governance can be achieved and sustained within a social context imbued with cultural values and in which power is distributed unevenly and dynamically, and how governance impacts on individuals and institutions. Drawing on Gramscian notions of hegemony and consent, and recent political science literatures on regulation and meta-regulation, this paper develops a sociological model of governance that emphasizes a dynamic and responsive governance in action. Empirical data from a study of pharmaceutical governance is used to show how multiple institutions and actors are involved in sustaining effective governance. The model addresses issues of how governance is sustained in the face of change, why governance of practices varies from setting to setting, and how governance is achieved without legislation.",Br. J. Sociol.
7,"BROOKS, A",2008,Reconceptualizing reflexivity and dissonance in professional and personal domains,detraditionalization of gender; dissonance; 'feminine habitus'; professional domains; reflexivity; individualization,GENDER,"Debates around 'reflexivity' and the construction of the gendered self within late modernity have occupied the attention of both 'reflexive modernization' theorists (Beck, Giddens and Lash 1994; Beck and Beck-Gernsheim 1996; Giddens 1991, 1992) as well as gender and feminist theorists. While theorists such as Beck and Giddens have been preoccupied with establishing the connection between reflexivity and the construction of the 'non-gendered' self, gender and feminist theorists have sought to amplify the debate by exploring the intersecting nexus of contemporary theorizing, more fully within this context. This paper explores the theoretical underpinnings of these debates and their application to specific professional and personal domains. I consider three case studies to assess these issues as outlined in my own work, Brooks 2006, and in the work of Wajcman and Martin 2002, and McDowell 1997, which draw on empirical research and explore changes to gender identity within professional and personal domains. I conclude that there is little evidence in the research presented here of any systematic reconfiguring of gender identities leading to a detraditionalization of gender as suggested by the 'reflexive modernization' theorists.",Br. J. Sociol.
8,"LLEWELLYN, N; BURROW, R",2008,Streetwise sales and the social order of city streets,The Big Issue; markets; street selling; ethnomethodology; video studies,ECONOMIC SOCIOLOGY; EMBEDDEDNESS; MARKET; ORGANIZATIONS,"This paper analyses how a Big Issue vendor approached passers-by and how they responded, how recognizable courses of social and economic activity were interactionally produced from initiation through to some conclusion. The paper recovers how the vendor's work was contextually embedded in the urban landscape, how it was constrained by, and actively shaped, the social order of the street. Drawing on video-audio recordings the paper contributes to a growing body of ethnographic and ethnomethodological research which has emphasized the embodied, contingent and interactional character of economic activity. By examining such materials, the paper is well positioned to describe how the vendor found his market on the street, social interventions that propelled passers-by into buying behaviour. The paper sheds light on now familiar encounters which occur millions of times each week in the UK and beyond.",Br. J. Sociol.
9,"LEWCHUK, W; CLARKE, M; DE WOLFF, A",2008,Working without commitments: precarious employment and health,Canada; health; precarious employment; temporary employment agencies,JOB INSECURITY; LABOR-MARKET; WHITEHALL-II; SECURITY; POWER,"Using cross-sectional data from a Canadian population-based questionnaire, this article develops a new approach to understanding the impact of less permanent forms of employment on workers' health. It concludes that employment relationships where future employment is uncertain, where individuals are actively searching for new employment and where support is limited are associated with poorer health indicators.",Work Employ. Soc.
10,"KEIZER, AB",2008,Non-regular employment in Japan: continued and renewed dualities,dualism; employment practices; female employment; Japan; non-regular employment; part-time employment,WOMENS EMPLOYMENT; PREFERENCE THEORY; PATTERNS; MYTHS,"Previous analyses of Japanese employment practices have often focused almost exclusively on regular employment, relegating non-regular employment to a role as employment buffer. However, recent years have seen a rise in non-regular employment which requires a renewed analysis of its role and importance. This article provides such an analysis and presents two major findings. First, it argues that a renewed duality in the labour market indicates important advantages to non-regular employment, not just in terms of flexibility, as suggested by previous interpretations and dual labour market theories, but mostly in terms of costs. However, the importance of this advantage differs between industries. Second, the article discusses the consequences of this duality. It argues particularly that the duality constrains the employment opportunities for women in spite of regulatory changes to strengthen their position. The article concludes with general insights into labour market dualism.",Work Employ. Soc.
11,"RAM, M; THEODORAKOPOULOS, N; JONES, T",2008,"Forms of capital, mixed embeddedness and Somali enterprise",forms of capital; mixed embeddedness; Somali enterprise,ETHNIC-MINORITY BUSINESSES; INDUSTRIAL-RELATIONS; SOCIAL EXCLUSION; EMPLOYMENT; FINANCE; UK,"What form is small business activity taking among new migrants in the UK? This question is addressed by examining the case of Somalis in the English city of Leicester. We apply a novel synthesis of the Nee and Sanders' (2001) 'forms of capital' model with the 'mixed embeddedness' approach (Rath, 2000) to enterprises established by newly arrived immigrant communities, combining agency and structure perspectives. Data are drawn from business-owners (and workers) themselves, rather than community representatives. Face-to-face in-depth interviews were held with 25 business owners and 25 employees/'helpers', supplemented by 3 focus group encounters with different segments of the Somali business population. The findings indicate that a reliance solely on social capital explanations is not sufficient. An adequate understanding of business dynamics requires an appreciation of how Somalis mobilize different forms of capital within a given political, social and economic context.",Work Employ. Soc.
12,"HUANG, XB",2008,Guanxi networks and job searches in China's emerging labour market: a qualitative investigation,guanxi networks; job searches; labour market; urban China,TRUST; TIES,"This article examines whether guanxi networks are still influential in China's emerging labour market in light of economic liberalization. In-depth interviews with 65 Chinese job searchers show that guanxi networks influence job search and acquisition in a considerably transformed state sector, when jobs are highly desirable or when jobs are 'soft-skill' and thus job performance is hard to measure, quantify or monitor. The influence of guanxi networks is, however, limited, resisted or eliminated when large corporations, mostly in the non-state sector, adopt transparent and standardized procedures to screen and recruit the most qualified candidates. Guanxi ties and professional ties are also interconnected in employment processes and professional ties are potentially transformable into guanxi ties. These results are discussed from institutional and cultural perspectives to contribute to a social network approach to labour market research in Chinese and non-Chinese societies.",Work Employ. Soc.
13,"BREKKE, I; MASTEKAASA, A",2008,Highly educated immigrants in the Norwegian labour market: permanent disadvantage?,earnings; employment; immigrants; university graduates,LIFE-COURSE; INEQUALITY; EARNINGS; RACE; DISCRIMINATION; EMPLOYMENT; MOBILITY; GENDER; 1980S,"This article analyses earnings and employment differences between native Norwegians and immigrants over the period 1993-2003. Register data for the entire population of graduates from Norwegian universities 1992-2002 are used. Immigrants' earnings and employment rates are considerably lower than those of native Norwegians. The differences decline with time of residency. Keeping time of residency constant, however, earnings differences between native men and male immigrants tend to grow over the career.",Work Employ. Soc.
